Symbol,Name,Tur
AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,TEFAS
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,TEFAS
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,TEFAS
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,TEFAS
AC4,PARDUS  PORTFÖY PARA PİYASASI (TL) FON,TEFAS
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TEFAS
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TEFAS
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),TEFAS
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,TEFAS
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,TEFAS
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,TEFAS
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,TEFAS
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,TEFAS
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
AFA,AK PORTFÖY  AMERİKA YABANCI HİSSE SENEDİ FONU,TEFAS
AFO,AK PORTFÖY ALTIN FONU,TEFAS
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,TEFAS
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,TEFAS
AFV,AK PORTFÖY  AVRUPA YABANCI HİSSE SENEDİ FONU,TEFAS
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,TEFAS
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),TEFAS
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,TEFAS
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TEFAS
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,TEFAS
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,TEFAS
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TEFAS
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,TEFAS
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,TEFAS
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,TEFAS
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,TEFAS
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TEFAS
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TEFAS
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,TEFAS
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),TEFAS
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TEFAS
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,TEFAS
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,TEFAS
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,TEFAS
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,TEFAS
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,TEFAS
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TEFAS
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,TEFAS
AUT,ATA PORTFÖY DENGELİ DEĞİŞKEN FON,TEFAS
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,TEFAS
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TEFAS
